id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
35718,163498422,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/la-barceloneta/163498422/d?from=list,Ciutat Vella,Piso,Used,139000.0,6000.0,1.0,1.0,30.0,0.0,,,,,,,
37384,165172066,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/vila-de-gracia/165172066/d?from=list,Gràcia,Piso,Used,298000.0,17000.0,2.0,2.0,69.0,3.0,,,,1.0,,,
686,164041446,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164041446/d?from=list,Sant Martí,Piso,Used,199500.0,5500.0,3.0,1.0,72.0,10.0,1.0,,,,,,
12051,164682099,2022-09-05,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor-se-aceptan-mascotas/164682099/d?from=list,Eixample,Piso,Used,339000.0,,4.0,1.0,75.0,5.0,1.0,,,,,,
23219,164718362,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164718362/d?from=list,Sants - Montjuïc,Piso,Used,209000.0,6000.0,,1.0,55.0,0.0,1.0,,,,,,
23739,153920383,2022-09-19,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/no-amueblado/153920383/d?from=list,Ciutat Vella,Apartamento,Used,330000.0,18000.0,2.0,1.0,88.0,5.0,,,,,,,
5028,161349707,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/terraza-ascensor-piscina/161349707/d?from=list,Sants - Montjuïc,Piso,Used,518000.0,,3.0,2.0,109.0,0.0,1.0,,,,,,
33060,165015705,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-se-aceptan-mascotas-no-amueblado/165015705/d?from=list,Sant Andreu,Planta baja,Used,110900.0,,2.0,1.0,45.0,0.0,,1.0,1.0,,1.0,,
23283,164719036,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/164719036/d?from=list,Ciutat Vella,Piso,Used,595000.0,,2.0,2.0,105.0,1.0,1.0,,,,,,
33108,164943943,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-parking-ascensor/164943943/d?from=list,Eixample,Piso,Used,520000.0,,4.0,2.0,117.0,3.0,1.0,,1.0,,,,
7282,164419720,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion/164419720/d?from=list,Nou Barris,Piso,Used,,,3.0,1.0,100.0,2.0,,,,1.0,,,
4716,164251845,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-no-amueblado/164251845/d?from=list,Les Corts,Ático,Used,1700000.0,,,,310.0,,1.0,1.0,1.0,,,,
22284,164829620,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/164829620/d?from=list,Sant Martí,Piso,Used,295000.0,,,1.0,,6.0,1.0,,,,,,
