id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
10311,162303508,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion/162303508/d?from=list,Horta - Guinardó,Piso,Used,195000,NA,2,1,60,2,NA,NA,1,NA,NA,NA,NA
7489,155684637,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/155684637/d?from=list,Eixample,Piso,Used,2450000,NA,3,NA,290,1,1,NA,NA,NA,NA,NA,NA
504,164454723,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164454723/d?from=list,Sant Andreu,Piso,Used,199000,NA,3,1,71,7,1,NA,NA,NA,NA,NA,NA
3149,163679827,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-parking-terraza-ascensor/163679827/d?from=list,Sant Andreu,Piso,Used,250232,NA,2,1,100,1,NA,NA,NA,NA,NA,NA,NA
9219,163413312,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-zona-comunitaria/163413312/d?from=list,Ciutat Vella,Piso,Used,475000,NA,2,NA,101,2,NA,NA,NA,1,NA,NA,NA
11128,164055399,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164055399/d?from=list,Sants - Montjuïc,Piso,Used,200900,NA,3,1,63,NA,1,NA,NA,NA,NA,NA,NA
34126,164738524,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/164738524/d?from=list,Sarrià - Sant Gervasi,Ático,Used,970000,NA,3,2,130,NA,1,1,NA,NA,NA,NA,NA
1796,161925900,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/parking-amueblado/161925900/d?from=list,Eixample,Piso,Used,550000,NA,2,1,133,NA,NA,NA,NA,NA,NA,NA,NA
11377,164602260,2022-09-02,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/el-camp-de-l'arpa-del-clot/164602260/d?from=list,Sant Martí,Ático,Used,233000,NA,2,1,60,NA,NA,NA,NA,NA,NA,NA,NA
855,163930673,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/163930673/d?from=list,Gràcia,Dúplex,Used,435000,NA,3,2,100,0,1,NA,NA,NA,NA,NA,NA
12664,164712109,2022-09-06,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164712109/d?from=list,Sants - Montjuïc,Piso,Used,250000,NA,2,1,65,NA,1,NA,NA,NA,NA,NA,NA
8642,164177652,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/164177652/d?from=list,Ciutat Vella,Piso,Used,534000,NA,2,1,98,2,1,NA,NA,NA,NA,NA,NA
7033,164251454,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-amueblado/164251454/d?from=list,Nou Barris,Loft,Used,95000,NA,1,1,35,NA,NA,NA,1,NA,NA,NA,NA
11495,157137527,2022-09-02,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/les-roquetes/157137527/d?from=list,Nou Barris,Piso,Used,86500,30500,2,1,47,NA,NA,NA,NA,NA,NA,NA,NA
9741,161790362,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-ascensor/161790362/d?from=list,Eixample,Piso,Used,450000,NA,2,1,98,4,1,NA,NA,NA,NA,NA,NA
33035,165007137,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor/165007137/d?from=list,Sant Martí,Ático,Used,1900000,NA,2,3,152,NA,1,1,1,1,NA,NA,NA
36468,164756313,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/hostafrancs/164756313/d?from=list,Sants - Montjuïc,Piso,Used,210000,NA,3,1,58,NA,NA,NA,NA,NA,NA,NA,NA
33958,164927448,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164927448/d?from=list,Sant Martí,Piso,Used,329000,NA,4,1,94,10,1,NA,NA,NA,NA,NA,NA
22676,164834217,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-se-aceptan-mascotas-internet/164834217/d?from=list,Sants - Montjuïc,Piso,Used,265000,NA,3,1,74,3,1,NA,NA,NA,NA,NA,NA
4304,164493878,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor-se-aceptan-mascotas/164493878/d?from=list,Sants - Montjuïc,Piso,Used,235000,NA,2,1,58,4,1,NA,NA,NA,NA,NA,NA
33776,164865906,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion/164865906/d?from=list,Horta - Guinardó,Piso,Used,137800,NA,2,1,53,1,NA,NA,1,NA,NA,NA,NA
11118,161769669,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-trastero-ascensor-no-amueblado/161769669/d?from=list,Gràcia,Piso,Used,995000,55000,6,4,265,5,1,NA,NA,NA,NA,NA,NA
3050,164263615,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-trastero-ascensor/164263615/d?from=list,Ciutat Vella,Piso,Used,395000,NA,2,1,51,1,NA,NA,NA,NA,NA,NA,NA
37369,164859983,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-piscina-piscina/164859983/d?from=list,Sarrià - Sant Gervasi,Casa o chalet,Used,2450000,NA,4,4,385,NA,NA,1,NA,NA,NA,NA,1
33941,164897559,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/el-raval/164897559/d?from=list,Ciutat Vella,Piso,Used,280000,NA,4,1,104,2,NA,NA,NA,1,NA,NA,NA
39061,165310105,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/el-camp-de-l-arpa-del-clot/165310105/d?from=list,Sant Martí,Piso,Used,279000,NA,3,1,55,1,NA,NA,NA,1,NA,NA,NA
3336,163007145,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-amueblado-se-aceptan-mascotas/163007145/d?from=list,Sarrià - Sant Gervasi,Piso,Used,790000,60000,4,2,181,3,1,NA,NA,NA,NA,NA,NA
36480,165032521,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-amueblado/165032521/d?from=list,Ciutat Vella,Piso,Used,372000,NA,1,1,47,3,1,NA,NA,NA,NA,NA,NA
2792,162969796,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/162969796/d?from=list,Eixample,Piso,Used,650000,NA,1,1,80,9,1,NA,1,NA,1,NA,NA
5478,163800739,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/163800739/d?from=list,Sarrià - Sant Gervasi,Ático,Used,670000,NA,3,2,110,NA,1,1,NA,NA,NA,NA,NA
11034,161131138,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-trastero-ascensor-television/161131138/d?from=list,Sarrià - Sant Gervasi,Piso,Used,880000,49000,4,3,168,6,1,NA,NA,NA,NA,NA,NA
742,164204803,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion/164204803/d?from=list,Ciutat Vella,Apartamento,Used,870000,25000,2,2,128,NA,NA,NA,1,1,NA,NA,NA
38935,165345927,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-terraza-se-aceptan-mascotas-no-amueblado/165345927/d?from=list,Sants - Montjuïc,Piso,Used,447000,NA,2,2,121,2,NA,1,NA,NA,NA,NA,NA
37959,165249249,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-se-aceptan-mascotas/165249249/d?from=list,Sants - Montjuïc,Piso,Used,250000,NA,2,1,60,7,1,NA,NA,NA,NA,NA,NA
4683,164412569,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-television-se-aceptan-mascotas/164412569/d?from=list,Nou Barris,Piso,Used,250000,15000,3,1,84,1,1,NA,NA,NA,NA,NA,NA
256,163274479,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-ascensor-no-amueblado/163274479/d?from=list,Sarrià - Sant Gervasi,Piso,Used,595000,65000,4,3,153,7,1,NA,NA,NA,NA,NA,NA
3422,156076297,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-parking/156076297/d?from=list,Sant Andreu,Piso,Used,123900,8100,3,1,76,4,NA,NA,NA,NA,NA,1,NA
4998,163370132,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/el-guinardo/163370132/d?from=list,Horta - Guinardó,Piso,Used,348000,33000,1,NA,97,NA,NA,NA,NA,NA,NA,NA,NA
37524,165194827,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/165194827/d?from=list,Sants - Montjuïc,Piso,Used,370000,NA,4,2,95,3,1,NA,NA,NA,NA,NA,NA
5978,164477379,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/amueblado/164477379/d?from=list,Ciutat Vella,Estudio,Used,85000,NA,1,1,44,0,NA,NA,NA,NA,NA,NA,NA
2059,163726853,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor-patio/163726853/d?from=list,Gràcia,Piso,Used,310000,55000,2,1,70,1,1,NA,1,NA,NA,NA,NA
37899,165143713,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-patio/165143713/d?from=list,Sant Martí,Casa adosada,Used,420000,NA,3,1,116,0,NA,1,NA,NA,NA,NA,NA
37167,165144044,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/165144044/d?from=list,Ciutat Vella,Piso,Used,155000,NA,2,1,35,1,NA,NA,NA,NA,NA,NA,NA
2748,160437452,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/el-coll/160437452/d?from=list,Gràcia,Piso,Used,185000,10000,2,1,65,2,NA,NA,NA,NA,NA,NA,NA
12975,164676945,2022-09-06,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/la-prosperitat/164676945/d?from=list,Nou Barris,Piso,Used,140000,NA,2,1,56,1,NA,NA,NA,1,NA,NA,NA
12093,164188350,2022-09-05,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/164188350/d?from=list,Nou Barris,Piso,Used,215000,5000,3,1,65,1,1,NA,NA,NA,NA,NA,NA
3585,162887456,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/162887456/d?from=list,Eixample,Piso,Used,695000,NA,1,1,62,7,1,NA,NA,NA,NA,NA,NA
8996,164174479,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164174479/d?from=list,Sant Martí,Piso,Used,141750,NA,3,1,59,3,1,NA,NA,NA,NA,NA,NA
35630,165095296,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/165095296/d?from=list,Sant Martí,Piso,Used,330000,NA,3,1,81,6,NA,NA,NA,NA,NA,NA,NA
